FASTQ,CT
LIB048121_GEN00199171_S3_L001_R2.fastq,B cell
LIB048121_GEN00199172_S4_L001_R1.fastq,T cell
LIB048121_GEN00199172_S4_L001_R2.fastq,T cell
LIB048121_GEN00199173_S5_L001_R1.fastq,T cell
LIB048121_GEN00199173_S5_L001_R2.fastq,T cell
LIB048121_GEN00199174_S6_L001_R1.fastq,T cell
LIB048121_GEN00199174_S6_L001_R2.fastq,T cell
LIB048121_GEN00199175_S7_L001_R1.fastq,T cell
LIB048121_GEN00199175_S7_L001_R2.fastq,T cell
LIB048121_GEN00199176_S8_L001_R1.fastq,T cell
LIB048121_GEN00199176_S8_L001_R2.fastq,T cell
LIB048121_GEN00199177_S9_L001_R1.fastq,T cell
LIB048121_GEN00199177_S9_L001_R2.fastq,T cell
LIB048121_GEN00199178_S10_L001_R1.fastq,MG
LIB048121_GEN00199178_S10_L001_R2.fastq,MG
LIB048121_GEN00199179_S11_L001_R1.fastq,MG
LIB048121_GEN00199179_S11_L001_R2.fastq,MG
LIB048121_GEN00199180_S12_L001_R1.fastq,MG
LIB048121_GEN00199180_S12_L001_R2.fastq,MG
LIB048121_GEN00199181_S13_L001_R1.fastq,Astrocyte
LIB048121_GEN00199181_S13_L001_R2.fastq,Astrocyte
LIB048121_GEN00199182_S14_L001_R1.fastq,Astrocyte
LIB048121_GEN00199182_S14_L001_R2.fastq,Astrocyte
LIB048121_GEN00199183_S15_L001_R1.fastq,Astrocyte
LIB048121_GEN00199183_S15_L001_R2.fastq,Astrocyte
LIB048121_GEN00199184_S16_L001_R1.fastq,Hepatocyte
LIB048121_GEN00199184_S16_L001_R2.fastq,Hepatocyte
LIB048121_GEN00199185_S17_L001_R1.fastq,Hepatocyte
LIB048121_GEN00199185_S17_L001_R2.fastq,Hepatocyte
LIB048121_GEN00199186_S18_L001_R1.fastq,Hepatocyte
LIB048121_GEN00199186_S18_L001_R2.fastq,Hepatocyte
LIB048121_GEN00199187_S19_L001_R1.fastq,Hepatocyte
LIB048121_GEN00199187_S19_L001_R2.fastq,Hepatocyte
LIB048121_GEN00199188_S20_L001_R1.fastq,Hepatocyte
LIB048121_GEN00199188_S20_L001_R2.fastq,Hepatocyte
LIB048121_GEN00199189_S21_L001_R1.fastq,Hepatocyte
LIB048121_GEN00199189_S21_L001_R2.fastq,Hepatocyte
LIB052276_GEN00217104_S22_L002_R1.fastq,T cell
LIB052276_GEN00217104_S22_L002_R2.fastq,T cell
LIB052276_GEN00217105_S23_L002_R1.fastq,T cell
LIB052276_GEN00217105_S23_L002_R2.fastq,T cell
LIB052276_GEN00217106_S24_L002_R1.fastq,T cell
LIB052276_GEN00217106_S24_L002_R2.fastq,T cell
LIB052276_GEN00217107_S25_L002_R1.fastq,T cell
LIB052276_GEN00217107_S25_L002_R2.fastq,T cell
LIB052276_GEN00217108_S26_L002_R1.fastq,T cell
LIB052276_GEN00217108_S26_L002_R2.fastq,T cell
LIB052276_GEN00217109_S27_L002_R1.fastq,T cell
LIB052276_GEN00217109_S27_L002_R2.fastq,T cell
LIB052276_GEN00217110_S28_L002_R1.fastq,T cell
